reference;type_operation;categorie_produit;quantite;prix_unitaire;valeur_marchandise;devise;pays_origine;pays_destination;mode_transport;distance_km;poids_kg;niveau_douane;priorite;date_operation;saison;duree_prevue_jours;date_livraison_prevue;duree_reelle_jours;date_livraison_reelle;retard
EXP-07899;EXPORT;MATERIAUX_CONSTRUCTION;1989;1254.24;2494683.36;EUR;Maroc;France;MARITIME;1992;143468.87;FAIBLE;NORMALE;2022-07-26;ETE;11;2022-08-06;11;2022-08-06;0
IMP-07900;IMPORT;PHARMACEUTIQUE;2608;496.96;1296071.68;EUR;Belgique;Maroc;ROUTIER;2572;2272.89;FAIBLE;URGENTE;2024-02-26;HIVER;6;2024-03-03;6;2024-03-03;0
IMP-07901;IMPORT;EQUIPEMENT_MEDICAL;91;19911.38;1811935.58;EUR;Portugal;Maroc;ROUTIER;910;9858.97;MOYEN;NORMALE;2022-02-28;HIVER;3;2022-03-03;3;2022-03-03;0
IMP-07902;IMPORT;PHARMACEUTIQUE;2462;252.89;622615.18;USD;Chine;Maroc;MARITIME;9739;3913.07;MOYEN;NORMALE;2022-01-19;HIVER;28;2022-02-16;27;2022-02-15;0
IMP-07903;IMPORT;COSMETIQUE;2058;209.28;430698.24;EUR;Turquie;Maroc;MARITIME;4627;1995.61;MOYEN;URGENTE;2023-04-15;PRINTEMPS;15;2023-04-30;18;2023-05-03;1
EXP-07904;EXPORT;TEXTILE;1459;30.99;45214.41;EUR;Maroc;Portugal;ROUTIER;863;4003.86;MOYEN;URGENTE;2025-08-09;ETE;3;2025-08-12;2;2025-08-11;0
EXP-07905;EXPORT;ELECTRONIQUE;173;7907.59;1368013.07;EUR;Maroc;Belgique;MARITIME;2542;671.3;ELEVE;NORMALE;2023-06-07;ETE;12;2023-06-19;17;2023-06-24;1
IMP-07906;IMPORT;PHARMACEUTIQUE;1321;565.48;746999.08;USD;Japon;Maroc;MARITIME;11463;2590.28;MOYEN;NORMALE;2022-01-30;HIVER;29;2022-02-28;42;2022-03-13;1
IMP-07907;IMPORT;ELECTRONIQUE;293;5858.37;1716502.41;USD;Canada;Maroc;MARITIME;5937;1116.57;FAIBLE;NORMALE;2025-12-28;HIVER;18;2026-01-15;17;2026-01-14;0
EXP-07908;EXPORT;ELECTRONIQUE;415;5642.22;2341521.3;MAD;Maroc;Espagne;MARITIME;996;3211.42;MOYEN;NORMALE;2025-09-28;AUTOMNE;9;2025-10-07;9;2025-10-07;0
IMP-07909;IMPORT;AGRICOLE;9063;39.08;354182.04;USD;Chine;Maroc;MARITIME;9941;178650.59;MOYEN;NORMALE;2025-03-12;PRINTEMPS;28;2025-04-09;30;2025-04-11;1
EXP-07910;EXPORT;ELECTRONIQUE;880;4264.78;3753006.4;MAD;Maroc;Émirats arabes unis;AERIEN;6096;1510.01;MOYEN;NORMALE;2023-09-26;AUTOMNE;4;2023-09-30;4;2023-09-30;0
EXP-07911;EXPORT;TEXTILE;1308;249.51;326359.08;MAD;Maroc;Canada;AERIEN;5914;2414.17;FAIBLE;NORMALE;2022-07-19;ETE;4;2022-07-23;2;2022-07-21;0
EXP-07912;EXPORT;PHARMACEUTIQUE;2879;761.43;2192156.97;USD;Maroc;Canada;AERIEN;5941;4074.96;ELEVE;URGENTE;2022-03-21;PRINTEMPS;4;2022-03-25;2;2022-03-23;0
EXP-07913;EXPORT;ELECTRONIQUE;242;711.84;172265.28;EUR;Maroc;Royaume-Uni;ROUTIER;2294;941.21;MOYEN;NORMALE;2025-06-03;ETE;5;2025-06-08;4;2025-06-07;0
IMP-07914;IMPORT;MACHINES;67;91500.49;6130532.83;USD;Émirats arabes unis;Maroc;MARITIME;5732;14945.6;ELEVE;URGENTE;2022-09-10;AUTOMNE;18;2022-09-28;23;2022-10-03;1
IMP-07915;IMPORT;TEXTILE;953;195.57;186378.21;USD;Chine;Maroc;MARITIME;9948;1075.26;ELEVE;NORMALE;2024-01-11;HIVER;25;2024-02-05;26;2024-02-06;1
EXP-07916;EXPORT;ELECTRONIQUE;992;7625.96;7564952.32;MAD;Maroc;Pays-Bas;MARITIME;2592;4296.58;ELEVE;NORMALE;2025-10-29;AUTOMNE;12;2025-11-10;10;2025-11-08;0
EXP-07917;EXPORT;MACHINES;34;23526.82;799911.88;EUR;Maroc;France;ROUTIER;1900;25019.75;MOYEN;NORMALE;2024-03-22;PRINTEMPS;5;2024-03-27;5;2024-03-27;0
EXP-07918;EXPORT;ELECTRONIQUE;428;1315.15;562884.2;EUR;Maroc;Italie;MARITIME;2157;3378.13;FAIBLE;NORMALE;2022-08-19;ETE;10;2022-08-29;8;2022-08-27;0
EXP-07919;EXPORT;AUTOMOBILE;444;4187.22;1859125.68;USD;Maroc;Corée du Sud;MARITIME;11165;15267.81;MOYEN;NORMALE;2023-07-24;ETE;30;2023-08-23;44;2023-09-06;1
EXP-07920;EXPORT;EQUIPEMENT_MEDICAL;66;4471.89;295144.74;USD;Maroc;Chine;MARITIME;9853;4483.79;FAIBLE;NORMALE;2023-05-30;PRINTEMPS;29;2023-06-28;37;2023-07-06;1
IMP-07921;IMPORT;TEXTILE;100;165.77;16577.0;MAD;Espagne;Maroc;MARITIME;1026;270.49;ELEVE;NORMALE;2024-03-04;PRINTEMPS;8;2024-03-12;11;2024-03-15;1
IMP-07922;IMPORT;EQUIPEMENT_MEDICAL;269;13979.09;3760375.21;EUR;Belgique;Maroc;MARITIME;2571;7262.16;ELEVE;NORMALE;2023-11-28;AUTOMNE;13;2023-12-11;12;2023-12-10;0
IMP-07923;IMPORT;EQUIPEMENT_MEDICAL;24;8129.7;195112.8;EUR;France;Maroc;MARITIME;2020;3062.99;MOYEN;URGENTE;2022-11-06;AUTOMNE;12;2022-11-18;11;2022-11-17;0
EXP-07924;EXPORT;AGRICOLE;1332;115.58;153952.56;EUR;Maroc;Belgique;ROUTIER;2473;13680.02;FAIBLE;NORMALE;2022-11-13;AUTOMNE;5;2022-11-18;3;2022-11-16;0
EXP-07925;EXPORT;PHARMACEUTIQUE;1488;227.24;338133.12;USD;Maroc;États-Unis;MARITIME;6416;895.92;ELEVE;URGENTE;2025-02-21;HIVER;18;2025-03-11;19;2025-03-12;1
IMP-07926;IMPORT;PHARMACEUTIQUE;2122;111.45;236496.9;EUR;France;Maroc;MARITIME;2077;1775.5;MOYEN;NORMALE;2024-04-15;PRINTEMPS;11;2024-04-26;14;2024-04-29;1
IMP-07927;IMPORT;MACHINES;53;66209.54;3509105.62;USD;Corée du Sud;Maroc;AERIEN;10486;71592.87;MOYEN;NORMALE;2025-08-08;ETE;6;2025-08-14;9;2025-08-17;1
EXP-07928;EXPORT;MATERIAUX_CONSTRUCTION;1762;1666.62;2936584.44;EUR;Maroc;France;ROUTIER;2036;152687.1;FAIBLE;NORMALE;2024-06-29;ETE;5;2024-07-04;6;2024-07-05;1
EXP-07929;EXPORT;ELECTRONIQUE;829;1299.49;1077277.21;MAD;Maroc;Pays-Bas;ROUTIER;2499;4189.72;MOYEN;NORMALE;2025-06-05;ETE;5;2025-06-10;4;2025-06-09;0
IMP-07930;IMPORT;EQUIPEMENT_MEDICAL;220;16594.65;3650823.0;EUR;Pays-Bas;Maroc;MARITIME;2551;6703.97;FAIBLE;NORMALE;2023-02-25;HIVER;12;2023-03-09;10;2023-03-07;0
EXP-07931;EXPORT;ALIMENTAIRE;9124;80.11;730923.64;EUR;Maroc;Belgique;MARITIME;2385;85174.0;ELEVE;NORMALE;2023-07-17;ETE;13;2023-07-30;13;2023-07-30;0
IMP-07932;IMPORT;AGRICOLE;8354;246.35;2058007.9;EUR;Allemagne;Maroc;ROUTIER;2701;127839.06;MOYEN;NORMALE;2022-04-10;PRINTEMPS;6;2022-04-16;5;2022-04-15;0
IMP-07933;IMPORT;AUTOMOBILE;288;4118.83;1186223.04;USD;Émirats arabes unis;Maroc;AERIEN;5732;11052.92;MOYEN;NORMALE;2022-05-19;PRINTEMPS;4;2022-05-23;5;2022-05-24;1
IMP-07934;IMPORT;COSMETIQUE;1855;459.1;851630.5;USD;Royaume-Uni;Maroc;MARITIME;2375;546.83;MOYEN;URGENTE;2023-06-01;ETE;11;2023-06-12;10;2023-06-11;0
IMP-07935;IMPORT;COSMETIQUE;3601;232.13;835900.13;USD;Canada;Maroc;AERIEN;5822;6420.4;ELEVE;NORMALE;2025-06-08;ETE;4;2025-06-12;3;2025-06-11;0
EXP-07936;EXPORT;ELECTRONIQUE;822;472.66;388526.52;EUR;Maroc;Allemagne;ROUTIER;2714;5562.41;FAIBLE;NORMALE;2024-04-24;PRINTEMPS;5;2024-04-29;3;2024-04-27;0
IMP-07937;IMPORT;PHARMACEUTIQUE;3836;811.1;3111379.6;EUR;Allemagne;Maroc;ROUTIER;2711;844.31;MOYEN;NORMALE;2023-11-25;AUTOMNE;5;2023-11-30;4;2023-11-29;0
EXP-07938;EXPORT;ELECTRONIQUE;925;5097.14;4714854.5;EUR;Maroc;Pays-Bas;MARITIME;2591;6150.0;MOYEN;NORMALE;2025-04-22;PRINTEMPS;13;2025-05-05;12;2025-05-04;0
IMP-07939;IMPORT;AGRICOLE;4825;259.91;1254065.75;EUR;Belgique;Maroc;ROUTIER;2389;11172.1;FAIBLE;NORMALE;2022-02-10;HIVER;6;2022-02-16;5;2022-02-15;0
IMP-07940;IMPORT;EQUIPEMENT_MEDICAL;86;26176.04;2251139.44;EUR;Pays-Bas;Maroc;ROUTIER;2563;11432.45;MOYEN;URGENTE;2023-05-30;PRINTEMPS;6;2023-06-05;6;2023-06-05;0
EXP-07941;EXPORT;AUTOMOBILE;589;2346.7;1382206.3;EUR;Maroc;Belgique;ROUTIER;2484;7449.44;MOYEN;NORMALE;2025-10-08;AUTOMNE;6;2025-10-14;6;2025-10-14;0
IMP-07942;IMPORT;AUTOMOBILE;608;4073.79;2476864.32;EUR;Belgique;Maroc;ROUTIER;2429;58058.89;MOYEN;NORMALE;2023-06-08;ETE;5;2023-06-13;7;2023-06-15;1
EXP-07943;EXPORT;EQUIPEMENT_MEDICAL;380;838.58;318660.4;EUR;Maroc;France;MARITIME;2091;36408.08;MOYEN;NORMALE;2024-08-13;ETE;12;2024-08-25;18;2024-08-31;1
IMP-07944;IMPORT;COSMETIQUE;4223;132.3;558702.9;MAD;Royaume-Uni;Maroc;ROUTIER;2216;2730.26;FAIBLE;NORMALE;2025-03-30;PRINTEMPS;5;2025-04-04;3;2025-04-02;0
IMP-07945;IMPORT;COSMETIQUE;702;420.12;294924.24;USD;Canada;Maroc;MARITIME;5757;1103.3;MOYEN;NORMALE;2023-03-04;PRINTEMPS;19;2023-03-23;18;2023-03-22;0
EXP-07946;EXPORT;MATERIAUX_CONSTRUCTION;1103;726.36;801175.08;MAD;Maroc;Belgique;ROUTIER;2579;32009.07;ELEVE;NORMALE;2024-06-10;ETE;6;2024-06-16;8;2024-06-18;1
EXP-07947;EXPORT;AGRICOLE;7840;118.31;927550.4;EUR;Maroc;Pays-Bas;ROUTIER;2700;25682.57;FAIBLE;NORMALE;2024-06-05;ETE;5;2024-06-10;6;2024-06-11;1
IMP-07948;IMPORT;ALIMENTAIRE;5717;34.83;199123.11;MAD;Turquie;Maroc;MARITIME;4320;21064.79;ELEVE;URGENTE;2022-06-07;ETE;14;2022-06-21;13;2022-06-20;0
IMP-07949;IMPORT;ELECTRONIQUE;651;4191.53;2728686.03;EUR;Espagne;Maroc;ROUTIER;1017;4614.29;FAIBLE;NORMALE;2023-03-28;PRINTEMPS;4;2023-04-01;6;2023-04-03;1
EXP-07950;EXPORT;MATERIAUX_CONSTRUCTION;491;119.97;58905.27;USD;Maroc;Canada;MARITIME;6188;10822.89;FAIBLE;URGENTE;2023-08-15;ETE;20;2023-09-04;19;2023-09-03;0
IMP-07951;IMPORT;AGRICOLE;9739;57.27;557752.53;USD;Royaume-Uni;Maroc;ROUTIER;2382;179586.4;MOYEN;URGENTE;2024-01-30;HIVER;6;2024-02-05;4;2024-02-03;0
EXP-07952;EXPORT;MATERIAUX_CONSTRUCTION;1904;149.35;284362.4;MAD;Maroc;Corée du Sud;AERIEN;11314;56203.69;MOYEN;NORMALE;2023-09-10;AUTOMNE;6;2023-09-16;6;2023-09-16;0
IMP-07953;IMPORT;TEXTILE;4770;129.45;617476.5;USD;Émirats arabes unis;Maroc;MARITIME;5853;12281.97;ELEVE;NORMALE;2022-05-07;PRINTEMPS;19;2022-05-26;17;2022-05-24;0
IMP-07954;IMPORT;COSMETIQUE;2272;253.98;577042.56;EUR;Royaume-Uni;Maroc;ROUTIER;2368;607.82;MOYEN;NORMALE;2022-03-29;PRINTEMPS;5;2022-04-03;3;2022-04-01;0
IMP-07955;IMPORT;EQUIPEMENT_MEDICAL;267;19533.12;5215343.04;EUR;Belgique;Maroc;ROUTIER;2467;37572.11;ELEVE;NORMALE;2025-08-02;ETE;5;2025-08-07;5;2025-08-07;0
IMP-07956;IMPORT;ALIMENTAIRE;5158;25.95;133850.1;USD;Émirats arabes unis;Maroc;AERIEN;5846;9887.28;FAIBLE;NORMALE;2024-01-16;HIVER;4;2024-01-20;5;2024-01-21;1
EXP-07957;EXPORT;EQUIPEMENT_MEDICAL;15;24300.25;364503.75;EUR;Maroc;France;MARITIME;1921;1512.2;ELEVE;NORMALE;2024-12-11;HIVER;11;2024-12-22;14;2024-12-25;1
IMP-07958;IMPORT;MATERIAUX_CONSTRUCTION;300;197.67;59301.0;USD;États-Unis;Maroc;MARITIME;6265;16691.57;MOYEN;NORMALE;2023-05-29;PRINTEMPS;19;2023-06-17;17;2023-06-15;0
IMP-07959;IMPORT;MATERIAUX_CONSTRUCTION;1541;1077.63;1660627.83;USD;Émirats arabes unis;Maroc;MARITIME;5888;66667.59;MOYEN;NORMALE;2023-08-25;ETE;17;2023-09-11;15;2023-09-09;0
EXP-07960;EXPORT;MACHINES;80;27817.02;2225361.6;EUR;Maroc;Portugal;MARITIME;888;112586.5;ELEVE;URGENTE;2025-02-26;HIVER;8;2025-03-06;12;2025-03-10;1
IMP-07961;IMPORT;MATERIAUX_CONSTRUCTION;277;1756.25;486481.25;MAD;Belgique;Maroc;ROUTIER;2397;8449.88;MOYEN;NORMALE;2023-04-09;PRINTEMPS;6;2023-04-15;5;2023-04-14;0
IMP-07962;IMPORT;AGRICOLE;8555;135.18;1156464.9;USD;Japon;Maroc;MARITIME;11236;80428.9;MOYEN;URGENTE;2023-07-02;ETE;29;2023-07-31;34;2023-08-05;1
IMP-07963;IMPORT;EQUIPEMENT_MEDICAL;290;5166.75;1498357.5;EUR;Espagne;Maroc;ROUTIER;970;7405.99;FAIBLE;NORMALE;2025-04-23;PRINTEMPS;3;2025-04-26;2;2025-04-25;0
EXP-07964;EXPORT;MACHINES;62;24895.61;1543527.82;USD;Maroc;Turquie;AERIEN;4437;118434.29;ELEVE;URGENTE;2025-12-08;HIVER;4;2025-12-12;5;2025-12-13;1
IMP-07965;IMPORT;TEXTILE;3776;388.15;1465654.4;EUR;Belgique;Maroc;MARITIME;2394;11153.62;ELEVE;URGENTE;2023-11-29;AUTOMNE;11;2023-12-10;9;2023-12-08;0
IMP-07966;IMPORT;EQUIPEMENT_MEDICAL;29;14778.97;428590.13;EUR;Portugal;Maroc;ROUTIER;857;278.91;FAIBLE;NORMALE;2025-10-31;AUTOMNE;4;2025-11-04;3;2025-11-03;0
EXP-07967;EXPORT;COSMETIQUE;1745;61.9;108015.5;EUR;Maroc;France;ROUTIER;1976;1283.22;MOYEN;NORMALE;2025-02-06;HIVER;5;2025-02-11;5;2025-02-11;0
IMP-07968;IMPORT;PHARMACEUTIQUE;2226;446.07;992951.82;EUR;Portugal;Maroc;ROUTIER;900;3244.85;FAIBLE;URGENTE;2025-04-03;PRINTEMPS;3;2025-04-06;1;2025-04-04;0
IMP-07969;IMPORT;ALIMENTAIRE;1079;28.56;30816.24;EUR;Espagne;Maroc;ROUTIER;972;3545.76;FAIBLE;URGENTE;2023-08-12;ETE;3;2023-08-15;2;2023-08-14;0
EXP-07970;EXPORT;COSMETIQUE;3300;82.79;273207.0;MAD;Maroc;Belgique;ROUTIER;2521;4184.98;MOYEN;NORMALE;2022-11-22;AUTOMNE;6;2022-11-28;4;2022-11-26;0
IMP-07971;IMPORT;MACHINES;100;54239.85;5423985.0;EUR;Belgique;Maroc;ROUTIER;2588;84377.41;MOYEN;NORMALE;2022-11-22;AUTOMNE;6;2022-11-28;7;2022-11-29;1
EXP-07972;EXPORT;MACHINES;15;87098.54;1306478.1;EUR;Maroc;Italie;ROUTIER;2222;24547.98;FAIBLE;NORMALE;2025-11-08;AUTOMNE;5;2025-11-13;4;2025-11-12;0
IMP-07973;IMPORT;AGRICOLE;1054;177.63;187222.02;EUR;Allemagne;Maroc;ROUTIER;2887;574.66;MOYEN;NORMALE;2024-10-09;AUTOMNE;6;2024-10-15;6;2024-10-15;0
EXP-07974;EXPORT;AGRICOLE;7483;222.34;1663770.22;USD;Maroc;États-Unis;MARITIME;6543;72843.66;FAIBLE;NORMALE;2024-09-01;AUTOMNE;19;2024-09-20;27;2024-09-28;1
IMP-07975;IMPORT;ALIMENTAIRE;5830;75.37;439407.1;USD;Japon;Maroc;MARITIME;11546;32837.08;ELEVE;URGENTE;2023-08-22;ETE;30;2023-09-21;29;2023-09-20;0
IMP-07976;IMPORT;COSMETIQUE;4428;46.32;205104.96;USD;États-Unis;Maroc;MARITIME;6677;2384.63;MOYEN;URGENTE;2023-08-05;ETE;22;2023-08-27;21;2023-08-26;0
IMP-07977;IMPORT;PHARMACEUTIQUE;921;958.62;882889.02;USD;Émirats arabes unis;Maroc;AERIEN;6290;225.51;MOYEN;NORMALE;2023-10-03;AUTOMNE;4;2023-10-07;2;2023-10-05;0
EXP-07978;EXPORT;MATERIAUX_CONSTRUCTION;713;778.12;554799.56;EUR;Maroc;Espagne;ROUTIER;1032;69118.56;MOYEN;URGENTE;2023-05-05;PRINTEMPS;3;2023-05-08;2;2023-05-07;0
IMP-07979;IMPORT;COSMETIQUE;1224;213.37;261164.88;USD;Canada;Maroc;MARITIME;5925;2252.84;MOYEN;NORMALE;2024-08-22;ETE;18;2024-09-09;21;2024-09-12;1
EXP-07980;EXPORT;MATERIAUX_CONSTRUCTION;130;1289.39;167620.7;EUR;Maroc;Belgique;ROUTIER;2442;10050.46;MOYEN;NORMALE;2023-02-07;HIVER;5;2023-02-12;3;2023-02-10;0
EXP-07981;EXPORT;AGRICOLE;5069;24.2;122669.8;USD;Maroc;Corée du Sud;MARITIME;11510;8713.4;ELEVE;NORMALE;2022-01-27;HIVER;28;2022-02-24;28;2022-02-24;0
IMP-07982;IMPORT;PHARMACEUTIQUE;4370;953.37;4166226.9;USD;Chine;Maroc;AERIEN;9622;7828.13;ELEVE;NORMALE;2024-05-24;PRINTEMPS;6;2024-05-30;8;2024-06-01;1
EXP-07983;EXPORT;MACHINES;64;75126.0;4808064.0;EUR;Maroc;Allemagne;ROUTIER;2902;3299.28;MOYEN;URGENTE;2022-11-24;AUTOMNE;6;2022-11-30;5;2022-11-29;0
EXP-07984;EXPORT;MATERIAUX_CONSTRUCTION;474;167.27;79285.98;EUR;Maroc;Portugal;ROUTIER;932;35483.82;FAIBLE;NORMALE;2023-08-25;ETE;3;2023-08-28;3;2023-08-28;0
IMP-07985;IMPORT;AGRICOLE;8184;272.08;2226702.72;USD;États-Unis;Maroc;MARITIME;6368;32895.18;ELEVE;URGENTE;2023-07-14;ETE;19;2023-08-02;22;2023-08-05;1
EXP-07986;EXPORT;ALIMENTAIRE;7570;133.16;1008021.2;USD;Maroc;États-Unis;AERIEN;6307;36260.87;MOYEN;NORMALE;2025-12-28;HIVER;4;2026-01-01;4;2026-01-01;0
IMP-07987;IMPORT;ALIMENTAIRE;3490;93.83;327466.7;MAD;France;Maroc;MARITIME;2054;18889.26;MOYEN;NORMALE;2022-08-04;ETE;12;2022-08-16;12;2022-08-16;0
IMP-07988;IMPORT;ALIMENTAIRE;4979;44.82;223158.78;USD;Canada;Maroc;MARITIME;6129;39863.63;MOYEN;URGENTE;2023-04-01;PRINTEMPS;20;2023-04-21;19;2023-04-20;0
IMP-07989;IMPORT;COSMETIQUE;2127;243.31;517520.37;USD;Canada;Maroc;AERIEN;5798;1446.08;MOYEN;NORMALE;2024-02-22;HIVER;4;2024-02-26;4;2024-02-26;0
IMP-07990;IMPORT;AGRICOLE;9344;282.57;2640334.08;EUR;Espagne;Maroc;MARITIME;980;175047.92;MOYEN;NORMALE;2025-07-10;ETE;10;2025-07-20;8;2025-07-18;0
EXP-07991;EXPORT;ALIMENTAIRE;2809;85.18;239270.62;USD;Maroc;Corée du Sud;MARITIME;11498;6724.12;MOYEN;NORMALE;2025-12-28;HIVER;32;2026-01-29;32;2026-01-29;0
IMP-07992;IMPORT;AGRICOLE;7639;165.92;1267462.88;USD;États-Unis;Maroc;MARITIME;6786;56731.75;ELEVE;NORMALE;2022-09-12;AUTOMNE;19;2022-10-01;24;2022-10-06;1
EXP-07993;EXPORT;ELECTRONIQUE;670;6149.21;4119970.7;USD;Maroc;États-Unis;MARITIME;6227;3564.56;ELEVE;NORMALE;2023-08-30;ETE;21;2023-09-20;21;2023-09-20;0
IMP-07994;IMPORT;PHARMACEUTIQUE;4360;674.73;2941822.8;EUR;Allemagne;Maroc;MARITIME;2756;7563.1;MOYEN;NORMALE;2023-12-13;HIVER;12;2023-12-25;10;2023-12-23;0
EXP-07995;EXPORT;AGRICOLE;991;266.33;263933.03;EUR;Maroc;Portugal;MARITIME;940;12748.49;MOYEN;NORMALE;2024-04-15;PRINTEMPS;8;2024-04-23;8;2024-04-23;0
EXP-07996;EXPORT;ELECTRONIQUE;345;2185.33;753938.85;EUR;Maroc;Espagne;ROUTIER;1023;594.67;ELEVE;NORMALE;2024-11-24;AUTOMNE;4;2024-11-28;5;2024-11-29;1
EXP-07997;EXPORT;EQUIPEMENT_MEDICAL;39;6860.47;267558.33;USD;Maroc;Corée du Sud;MARITIME;11033;3005.24;FAIBLE;NORMALE;2022-06-26;ETE;29;2022-07-25;28;2022-07-24;0
EXP-07998;EXPORT;ELECTRONIQUE;408;4023.14;1641441.12;MAD;Maroc;Royaume-Uni;ROUTIER;2185;3226.26;ELEVE;NORMALE;2025-06-20;ETE;5;2025-06-25;3;2025-06-23;0
IMP-07999;IMPORT;EQUIPEMENT_MEDICAL;30;12759.79;382793.7;EUR;France;Maroc;AERIEN;1948;1172.68;MOYEN;NORMALE;2025-11-03;AUTOMNE;3;2025-11-06;2;2025-11-05;0
EXP-08000;EXPORT;TEXTILE;2286;38.04;86959.44;EUR;Maroc;Italie;ROUTIER;2221;2751.13;ELEVE;URGENTE;2022-04-30;PRINTEMPS;6;2022-05-06;4;2022-05-04;0
EXP-08001;EXPORT;AUTOMOBILE;305;4248.1;1295670.5;MAD;Maroc;Corée du Sud;MARITIME;10564;30352.56;FAIBLE;NORMALE;2022-10-16;AUTOMNE;29;2022-11-14;40;2022-11-25;1
IMP-08002;IMPORT;COSMETIQUE;3675;458.49;1684950.75;EUR;Pays-Bas;Maroc;ROUTIER;2570;6339.13;MOYEN;URGENTE;2025-04-08;PRINTEMPS;5;2025-04-13;4;2025-04-12;0
EXP-08003;EXPORT;AUTOMOBILE;52;1045.01;54340.52;USD;Maroc;Canada;AERIEN;5961;4703.8;MOYEN;NORMALE;2022-04-04;PRINTEMPS;4;2022-04-08;3;2022-04-07;0
EXP-08004;EXPORT;AUTOMOBILE;224;925.12;207226.88;USD;Maroc;Chine;MARITIME;10418;13286.19;FAIBLE;NORMALE;2022-06-27;ETE;30;2022-07-27;30;2022-07-27;0
EXP-08005;EXPORT;AGRICOLE;2898;51.58;149478.84;EUR;Maroc;Portugal;ROUTIER;903;12968.1;MOYEN;NORMALE;2023-03-27;PRINTEMPS;3;2023-03-30;3;2023-03-30;0
IMP-08006;IMPORT;COSMETIQUE;227;312.7;70982.9;EUR;Turquie;Maroc;AERIEN;4431;402.74;FAIBLE;NORMALE;2022-09-09;AUTOMNE;3;2022-09-12;1;2022-09-10;0
EXP-08007;EXPORT;ELECTRONIQUE;354;5764.71;2040707.34;EUR;Maroc;Italie;ROUTIER;2222;1414.41;ELEVE;URGENTE;2024-07-16;ETE;5;2024-07-21;6;2024-07-22;1
IMP-08008;IMPORT;AGRICOLE;5470;20.61;112736.7;EUR;France;Maroc;ROUTIER;1931;13590.42;ELEVE;URGENTE;2024-01-01;HIVER;5;2024-01-06;4;2024-01-05;0
IMP-08009;IMPORT;COSMETIQUE;2089;198.37;414394.93;EUR;France;Maroc;ROUTIER;1999;427.59;ELEVE;NORMALE;2023-11-29;AUTOMNE;5;2023-12-04;5;2023-12-04;0
IMP-08010;IMPORT;AGRICOLE;9608;219.2;2106073.6;EUR;Portugal;Maroc;MARITIME;863;12762.44;ELEVE;NORMALE;2023-09-01;AUTOMNE;9;2023-09-10;7;2023-09-08;0
EXP-08011;EXPORT;ELECTRONIQUE;475;1433.51;680917.25;MAD;Maroc;Royaume-Uni;ROUTIER;2334;489.53;MOYEN;NORMALE;2023-02-13;HIVER;6;2023-02-19;5;2023-02-18;0
EXP-08012;EXPORT;COSMETIQUE;1317;94.44;124377.48;MAD;Maroc;Pays-Bas;ROUTIER;2524;1666.6;MOYEN;URGENTE;2024-08-23;ETE;6;2024-08-29;5;2024-08-28;0
EXP-08013;EXPORT;COSMETIQUE;2404;391.11;940228.44;MAD;Maroc;France;ROUTIER;2049;2948.42;FAIBLE;URGENTE;2024-12-11;HIVER;5;2024-12-16;4;2024-12-15;0
EXP-08014;EXPORT;MACHINES;68;47553.37;3233629.16;USD;Maroc;Corée du Sud;MARITIME;10953;104209.93;ELEVE;URGENTE;2025-12-25;HIVER;30;2026-01-24;30;2026-01-24;0
IMP-08015;IMPORT;COSMETIQUE;1153;426.06;491247.18;USD;Japon;Maroc;AERIEN;11424;251.47;MOYEN;NORMALE;2022-05-27;PRINTEMPS;6;2022-06-02;4;2022-05-31;0
IMP-08016;IMPORT;AUTOMOBILE;879;2292.05;2014711.95;USD;Corée du Sud;Maroc;MARITIME;10885;39828.22;MOYEN;NORMALE;2025-09-14;AUTOMNE;31;2025-10-15;29;2025-10-13;0
IMP-08017;IMPORT;AUTOMOBILE;856;2590.61;2217562.16;EUR;Pays-Bas;Maroc;MARITIME;2514;64689.71;ELEVE;NORMALE;2024-10-13;AUTOMNE;12;2024-10-25;10;2024-10-23;0
EXP-08018;EXPORT;ELECTRONIQUE;356;2335.44;831416.64;EUR;Maroc;France;ROUTIER;1935;2289.16;FAIBLE;NORMALE;2024-06-01;ETE;5;2024-06-06;3;2024-06-04;0
IMP-08019;IMPORT;COSMETIQUE;2057;204.06;419751.42;USD;Émirats arabes unis;Maroc;MARITIME;6280;1857.96;MOYEN;NORMALE;2024-10-31;AUTOMNE;19;2024-11-19;18;2024-11-18;0
IMP-08020;IMPORT;PHARMACEUTIQUE;2400;322.62;774288.0;USD;Japon;Maroc;MARITIME;11474;4543.9;FAIBLE;NORMALE;2025-05-17;PRINTEMPS;29;2025-06-15;32;2025-06-18;1
IMP-08021;IMPORT;ALIMENTAIRE;9469;75.58;715667.02;USD;Canada;Maroc;AERIEN;5794;48816.98;ELEVE;URGENTE;2023-04-18;PRINTEMPS;4;2023-04-22;6;2023-04-24;1
EXP-08022;EXPORT;AUTOMOBILE;311;4045.8;1258243.8;EUR;Maroc;Espagne;MARITIME;1041;1310.17;FAIBLE;NORMALE;2022-10-01;AUTOMNE;9;2022-10-10;7;2022-10-08;0
IMP-08023;IMPORT;MACHINES;48;49084.91;2356075.68;USD;Royaume-Uni;Maroc;ROUTIER;2374;50573.77;FAIBLE;URGENTE;2023-06-06;ETE;6;2023-06-12;4;2023-06-10;0
